x,y,theta,steer,speed
5,0,0,0,1
5.1,0,0,0.785476,0.999999
5.17071,0,0.0707161,0.785476,0.999999
5.24123,0.00499583,0.141432,-0.785475,0.999999
5.31123,0.0149625,0.0707161,-0.785474,1
5.38176,0.0199584,9.66758e-08,-0.785474,1
5.45247,0.0199584,-0.0707159,-0.785475,1
5.523,0.0149625,-0.141432,-0.785475,0.999999
5.59299,0.00499586,-0.212148,-0.785475,0.999999
5.66211,-0.00989184,-0.282864,0.785475,0.999999
5.73001,-0.0296262,-0.212148,0.785475,1
5.79913,-0.0445139,-0.141432,0.785474,1
5.86913,-0.0544806,-0.070716,0.785474,1
5.93966,-0.0594764,3.98493e-08,0.785474,1
6.01036,-0.0594764,0.0707161,0.785474,1
6.08089,-0.0544805,0.141432,0.785474,1
6.15089,-0.0445139,0.212148,0.785475,1
6.22001,-0.0296261,0.282864,0.785475,0.999999
6.28791,-0.00989182,0.35358,0.785475,0.999999
6.35424,0.0145905,0.424296,-0.785475,0.999999
6.41867,0.0436984,0.35358,-0.785475,0.999999
6.485,0.0681807,0.282864,-0.785475,1
6.5529,0.087915,0.212148,-0.785474,1
6.62202,0.102803,0.141432,-0.785474,1
6.69202,0.112769,0.0707161,-0.785474,1
6.76255,0.117765,8.32427e-08,-0.785474,1
6.83325,0.117765,-0.0707159,-0.785474,1
6.90378,0.112769,-0.141432,-0.785474,1
6.97378,0.102803,-0.212148,-0.785474,1
7.0429,0.087915,-0.282864,-0.785475,1
7.1108,0.0681807,-0.35358,-0.785475,0.999999
7.17713,0.0436984,-0.424296,-0.785475,0.999999
7.24156,0.0145905,-0.495012,-0.785475,0.999999
7.30378,-0.0189974,-0.565728,0.785475,0.999999
7.36347,-0.0568976,-0.495012,0.785475,0.999999
7.42569,-0.0904855,-0.424296,0.785475,1
7.49012,-0.119593,-0.35358,0.785474,1
7.55646,-0.144076,-0.282864,0.785474,1
7.62435,-0.16381,-0.212148,0.785474,1
7.69347,-0.178698,-0.141432,0.785474,1
7.76347,-0.188664,-0.070716,0.785474,1
7.834,-0.19366,4.56993e-08,0.785474,1
7.9047,-0.19366,0.0707161,0.785474,1
7.97523,-0.188664,0.141432,0.785474,1
8.04523,-0.178698,0.212148,0.785474,1
8.11435,-0.16381,0.282864,0.785474,1
8.18225,-0.144076,0.35358,0.785475,1
8.24858,-0.119593,0.424296,0.785475,1
8.31302,-0.0904855,0.495012,0.785475,0.999999
8.37523,-0.0568975,0.565728,0.785475,0.999999
8.43492,-0.0189974,0.636444,0.785476,0.999999
8.49178,0.0230255,0.707161,-0.785475,0.999999
8.54554,0.0689611,0.636444,-0.785475,0.999999
8.6024,0.110984,0.565728,-0.785475,0.999999
8.66209,0.148884,0.495012,-0.785475,1
8.7243,0.182472,0.424296,-0.785474,0.999999
8.78874,0.21158,0.35358,-0.785474,0.999999
8.85507,0.236062,0.282864,-0.785474,0.999999
8.92297,0.255797,0.212148,-0.785474,0.999999
8.99209,0.270684,0.141432,-0.785474,0.999999
9.06209,0.280651,0.0707162,-0.785474,0.999999
9.13262,0.285647,2.30643e-07,-0.785474,0.999999
9.20332,0.285647,-0.0707157,-0.785474,0.999999
9.27385,0.280651,-0.141432,-0.785474,0.999999
9.34385,0.270685,-0.212148,-0.785474,0.999999
9.41297,0.255797,-0.282864,-0.785474,0.999999
9.48086,0.236063,-0.35358,-0.785474,0.999999
9.5472,0.21158,-0.424296,-0.785474,0.999999
9.61163,0.182472,-0.495012,-0.785475,0.999999
9.67385,0.148884,-0.565728,-0.785475,0.999999
9.73354,0.110984,-0.636444,-0.785475,0.999999
9.7904,0.0689614,-0.70716,-0.785475,0.999999
9.84415,0.0230259,-0.777876,-0.785476,0.999999
9.89452,-0.0265927,-0.848592,0.785476,0.999999
9.94126,-0.0796464,-0.777876,0.785475,0.999999
9.99163,-0.129265,-0.70716,0.785475,0.999999
10.0454,-0.175201,-0.636444,0.785475,0.999999
10.1022,-0.217223,-0.565728,0.785475,1
10.1619,-0.255124,-0.495012,0.785474,1
10.2242,-0.288712,-0.424296,0.785474,1
10.2886,-0.317819,-0.35358,0.785474,1
10.3549,-0.342302,-0.282864,0.785474,1
10.4228,-0.362036,-0.212148,0.785474,1
10.4919,-0.376924,-0.141432,0.785474,1
10.5619,-0.38689,-0.0707156,0.785474,1
10.6325,-0.391886,4.08723e-07,0.785474,1
10.7032,-0.391886,0.0707164,0.785474,1
10.7737,-0.38689,0.141432,0.785474,1
10.8437,-0.376924,0.212148,0.785474,1
10.9128,-0.362036,0.282864,0.785474,1
10.9807,-0.342302,0.35358,0.785474,1
11.047,-0.317819,0.424297,0.785474,1
11.1115,-0.288711,0.495013,0.785474,1
11.1737,-0.255123,0.565729,0.785475,1
11.2334,-0.217223,0.636445,0.785475,0.999999
11.2902,-0.1752,0.707161,0.785475,0.999999
11.344,-0.129264,0.777877,0.785475,0.999999
11.3944,-0.0796458,0.848593,0.785475,0.999999
11.4411,-0.0265921,0.919309,0.785476,0.999999
11.484,0.0296314,0.990025,-0.785476,0.999999
11.5228,0.0887437,0.919309,-0.785475,0.999999
11.5656,0.144967,0.848593,-0.785475,0.999999
11.6124,0.198021,0.777877,-0.785475,0.999999
11.6628,0.24764,0.707161,-0.785475,0.999999
11.7165,0.293575,0.636445,-0.785474,0.999999
11.7734,0.335598,0.565729,-0.785474,0.999999
11.8331,0.373498,0.495013,-0.785474,0.999999
11.8953,0.407086,0.424297,-0.785474,0.999999
11.9597,0.436194,0.353581,-0.785474,0.999999
12.026,0.460677,0.282865,-0.785474,0.999999
12.0939,0.480411,0.212149,-0.785474,0.999999
12.1631,0.495299,0.141433,-0.785474,0.999999
12.2331,0.505266,0.0707167,-0.785474,0.999999
12.3036,0.510262,7.12335e-07,-0.785474,0.999999
12.3743,0.510262,-0.0707153,-0.785474,0.999999
12.4448,0.505266,-0.141431,-0.785474,0.999999
12.5148,0.495299,-0.212147,-0.785474,0.999999
12.5839,0.480412,-0.282863,-0.785474,0.999999
12.6518,0.460677,-0.353579,-0.785474,0.999999
12.7182,0.436195,-0.424295,-0.785474,0.999999
12.7826,0.407087,-0.495011,-0.785474,0.999999
12.8448,0.373499,-0.565727,-0.785474,0.999999
12.9045,0.335599,-0.636443,-0.785474,0.999999
12.9614,0.293576,-0.707159,-0.785475,0.999999
13.0151,0.247641,-0.777875,-0.785475,0.999999
13.0655,0.198022,-0.848591,-0.785475,0.999999
13.1122,0.144968,-0.919307,-0.785475,0.999999
13.1551,0.0887449,-0.990024,-0.785475,0.999999
13.1939,0.0296326,-1.06074,-0.785476,0.999999
13.2284,-0.0320729,-1.13146,0.785476,0.999999
13.2585,-0.0960634,-1.06074,0.785475,0.999999
13.293,-0.157769,-0.990024,0.785475,0.999999
13.3318,-0.216881,-0.919307,0.785475,0.999999
13.3747,-0.273105,-0.848591,0.785475,0.999999
13.4214,-0.326158,-0.777875,0.785475,1
13.4718,-0.375777,-0.707159,0.785475,1
13.5255,-0.421713,-0.636443,0.785474,1
13.5824,-0.463735,-0.565727,0.785474,1
13.6421,-0.501636,-0.495011,0.785474,1
13.7043,-0.535224,-0.424295,0.785474,1
13.7688,-0.564331,-0.353579,0.785474,1
13.8351,-0.588814,-0.282863,0.785474,1
13.903,-0.608548,-0.212147,0.785474,1
13.9721,-0.623436,-0.141431,0.785474,1
14.0421,-0.633402,-0.070715,0.785474,1
14.1126,-0.638398,9.98814e-07,0.785474,1
14.1833,-0.638398,0.070717,0.785474,1
14.2539,-0.633402,0.141433,0.785474,1
14.3239,-0.623435,0.212149,0.785474,1
14.393,-0.608547,0.282865,0.785474,1
14.4609,-0.588813,0.353581,0.785474,1
14.5272,-0.564331,0.424297,0.785474,1
14.5916,-0.535223,0.495013,0.785474,1
14.6539,-0.501635,0.565729,0.785474,1
14.7135,-0.463734,0.636445,0.785474,1
14.7704,-0.421711,0.707161,0.785475,1
14.8242,-0.375776,0.777877,0.785475,1
14.8745,-0.326157,0.848593,0.785475,0.999999
14.9213,-0.273103,0.919309,0.785475,0.999999
14.9641,-0.21688,0.990025,0.785475,0.999999
15.0029,-0.157767,1.06074,0.785475,0.999999
15.0375,-0.0960616,1.13146,0.785475,0.999999
15.0675,-0.0320711,1.20217,0.785476,0.999999
15.093,0.0338844,1.27289,-0.785476,0.999999
15.1138,0.101475,1.20217,-0.785475,0.999999
15.1392,0.167431,1.13146,-0.785475,0.999999
