x,y,theta,speed,steer
-12,-2,-2.35619,-0.510001,-0.0800425
-11.9892,-1.98918,-2.35554,-0.300001,-0.160772
-11.9828,-1.98281,-2.35476,-0.300001,-0.237244
-11.9765,-1.97644,-2.35361,-0.300001,-0.31198
-11.9701,-1.97006,-2.35206,-0.300001,-0.384898
-11.9638,-1.96367,-2.35012,-0.300001,-0.455914
-11.9575,-1.95727,-2.34777,-0.300001,-0.524941
-11.9511,-1.95085,-2.345,-0.300001,-0.591887
-11.9449,-1.94441,-2.34178,-0.300001,-0.656657
-11.9386,-1.93796,-2.33809,-0.300001,-0.719146
-11.9323,-1.93148,-2.3339,-0.300001,-0.779247
-11.9261,-1.92498,-2.32916,-0.300001,-0.836839
-11.9199,-1.91844,-2.32386,-0.300001,-0.891796
-11.9138,-1.91188,-2.31792,-0.300001,-0.943978
-11.9077,-1.90527,-2.31131,-0.300001,-0.993233
-11.9016,-1.89863,-2.30396,-0.300001,-1.03939
-11.8956,-1.89194,-2.29581,-0.300001,-1.08228
-11.8896,-1.88521,-2.2868,-0.300001,-1.1217
-11.8837,-1.87842,-2.27686,-0.300001,-1.15744
-11.8778,-1.87157,-2.26594,-0.300001,-1.18927
-11.8721,-1.86466,-2.25401,-0.300001,-1.21696
-11.8664,-1.85768,-2.24104,-0.300001,-1.24028
-11.8608,-1.85062,-2.22708,-0.300001,-1.25101
-11.8553,-1.84349,-2.21262,-0.300001,-1.25132
-11.8499,-1.83628,-2.19814,-0.300001,-1.25162
-11.8446,-1.829,-2.18365,-0.300001,-1.2519
-11.8395,-1.82164,-2.16914,-0.300001,-1.25218
-11.8344,-1.8142,-2.15462,-0.300001,-1.24795
-11.8294,-1.80669,-2.14031,-0.300001,-1.23915
-11.8246,-1.79911,-2.1264,-0.300001,-1.22592
-11.8198,-1.79146,-2.11307,-0.300001,-1.20841
-11.8152,-1.78376,-2.10044,-0.300001,-1.18684
-11.8106,-1.77599,-2.08858,-0.300001,-1.16141
-11.8062,-1.76817,-2.07754,-0.300001,-1.13236
-11.8018,-1.7603,-2.06733,-0.300001,-1.0999
-11.7975,-1.75239,-2.05792,-0.300001,-1.06427
-11.7933,-1.74443,-2.04929,-0.300001,-1.02568
-11.7892,-1.73644,-2.04139,-0.300001,-0.984334
